id,ident,type,name,lat,lng,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
2998,FTTJ,medium_airport,"N'Djamena International Airport",12.133700370788574,15.034000396728516,968,AF,TD,TD-CB,"N'Djamena",yes,FTTJ,NDJ,,,"http://en.wikipedia.org/wiki/N'Djamena_International_Airport",Ndjamena Hassan Djamous
2144,DXXX,medium_airport,Lomé-Tokoin Airport,6.165609836578369,1.2545100450515747,72,AF,TG,TG-M,Lomé,yes,DXXX,LFW,,,http://en.wikipedia.org/wiki/Lom%C3%A9-Tokoin_Airport,Gnassingbe Eyadema International Airport
26385,UTDD,medium_airport,Dushanbe Airport,38.543300628699996,68.8249969482,2575,AS,TJ,TJ-RR,Dushanbe,yes,UTDD,DYU,,,http://en.wikipedia.org/wiki/Dushanbe_Airport,
26881,WPDL,medium_airport,Presidente Nicolau Lobato International Airport,-8.54640007019,125.526000977,154,AS,TL,TL-DI,Dili,yes,WPDL,DIL,,,http://en.wikipedia.org/wiki/Presidente_Nicolau_Lobato_International_Airport,Komoro Airport
26380,UTAA,medium_airport,Ashgabat Airport,37.98680114746094,58.361000061035156,692,AS,TM,TM-A,Ashgabat,yes,UTAA,ASB,,,http://en.wikipedia.org/wiki/Ashgabat_Airport,Saparmurat Turkmenbashy International Airport
4962,NFTF,medium_airport,"Fua'amotu International Airport",-21.241199493408203,-175.14999389648438,126,OC,TO,TO-04,"Nuku'alofa",yes,NFTF,TBU,,,"http://en.wikipedia.org/wiki/Fua'amotu_International_Airport",
6410,TTPP,medium_airport,Piarco International Airport,10.595399856567383,-61.33720016479492,58,NA,TT,TT-TUP,Port of Spain,yes,TTPP,POS,,,http://en.wikipedia.org/wiki/Piarco_International_Airport,
44571,NGFU,medium_airport,Funafuti International Airport,-8.525,179.195999,9,OC,TV,TV-FUN,Funafuti,yes,NGFU,FUN,,,http://en.wikipedia.org/wiki/Funafuti_International_Airport,
3263,HUEN,medium_airport,Entebbe International Airport,0.042385999113321304,32.44350051879883,3782,AF,UG,UG-102,Kampala,yes,HUEN,EBB,,http://www.caa.co.ug/,http://en.wikipedia.org/wiki/Entebbe_International_Airport,
5506,PWAK,medium_airport,Wake Island Airfield,19.282100677490234,166.63600158691406,14,OC,UM,UM-79,Wake Island,no,PWAK,AWK,AWK,,http://en.wikipedia.org/wiki/Wake_Island_Airfield,
6412,TVSB,medium_airport,J F Mitchell Airport,12.9884004593,-61.2620010376,15,NA,VC,VC-06,Bequia,yes,TVSB,BQU,,,http://en.wikipedia.org/wiki/J._F._Mitchell_Airport,
6411,TUPJ,medium_airport,Terrance B. Lettsome International Airport,18.444799423217773,-64.54299926757812,15,NA,VG,VG-U-A,Road Town,yes,TUPJ,EIS,,http://www.bareboatsbvi.com/beef_island.html,http://en.wikipedia.org/wiki/Terrance_B._Lettsome_International_Airport,"BVI, Beef Island Airport"
6369,TIST,medium_airport,Cyril E. King Airport,18.337299346923828,-64.97339630126953,23,NA,VI,VI-U-A,"Charlotte Amalie, Harry S. Truman Airport",yes,TIST,STT,STT,http://www.viport.com/airports.html,http://en.wikipedia.org/wiki/Cyril_E._King_Airport,
5011,NVVV,medium_airport,Bauerfield International Airport,-17.699300765991,168.32000732422,70,OC,VU,VU-SEE,Port Vila,yes,NVVV,VLI,,,http://en.wikipedia.org/wiki/Bauerfield_International_Airport,"Efate Field, Vila Field, McDonald Field, Bauer Field"
4975,NLWW,medium_airport,Hihifo Airport,-13.2383003235,-176.199005127,79,OC,WF,WF-U-A,Wallis Island,yes,NLWW,WLS,,,http://en.wikipedia.org/wiki/Hihifo_Airport,
4976,NSFA,medium_airport,Faleolo International Airport,-13.829999923706055,-172.00799560546875,58,OC,WS,WS-AA,Apia,yes,NSFA,APW,,,http://en.wikipedia.org/wiki/Faleolo_International_Airport,
5311,OYAA,medium_airport,Aden International Airport,12.829500198364258,45.02880096435547,7,AS,YE,YE-AD,Aden,yes,OYAA,ADE,,,http://en.wikipedia.org/wiki/Aden_International_Airport,
2904,FMCZ,medium_airport,Dzaoudzi Pamandzi International Airport,-12.804699897766113,45.28110122680664,23,AF,YT,YT-U-A,Dzaoudzi,yes,FMCZ,DZA,,,http://en.wikipedia.org/wiki/Dzaoudzi_Pamandzi_International_Airport,
3005,FVHA,medium_airport,Harare International Airport,-17.931800842285156,31.09280014038086,4887,AF,ZW,ZW-HA,Harare,yes,FVHA,HRE,,,http://en.wikipedia.org/wiki/Harare_International_Airport,
